startDate,startTime,A,stopDate,stopTime,P
9/14/2018,09:54:02,AM,9/14/2018,09:54:02,PM
9/14/2018,09:53:37,AM,9/14/2018,09:52:43,PM
09-12-2018,09:29:50,AM,09-12-2018,09:29:50,PM
09-12-2018,09:29:34,AM,09-12-2018,09:29:34,PM
09-11-2018,09:46:48,AM,09-11-2018,09:38:07,PM
09-11-2018,09:45:59,AM,09-11-2018,09:45:59,PM
09-08-2018,09:44:11,PM,09-08-2018,11:46:07,PM
09-08-2018,05:20:15,PM,09-09-2018,12:52:05,AM
09-08-2018,09:42:11,AM,09-08-2018,09:42:11,PM
09-08-2018,09:35:11,AM,09-08-2018,05:00:42,PM
09-07-2018,10:52:53,AM,09-07-2018,10:15:40,PM
09-07-2018,10:10:23,AM,09-07-2018,09:57:35,PM
09-06-2018,09:06:11,AM,09-06-2018,09:06:11,PM
09-06-2018,08:52:15,AM,09-06-2018,08:52:15,PM
09-05-2018,08:48:58,AM,09-05-2018,06:36:22,PM
09-05-2018,08:42:50,AM,09-05-2018,06:56:45,PM
09-04-2018,09:19:43,AM,09-04-2018,09:19:43,PM
09-04-2018,08:56:46,AM,09-04-2018,08:56:46,PM
09-03-2018,11:12:27,PM,09-04-2018,01:12:37,AM
09-03-2018,10:01:41,AM,09-03-2018,07:11:21,PM
09-03-2018,09:53:40,AM,09-03-2018,07:17:30,PM
8/31/2018,10:00:24,AM,8/31/2018,07:55:18,PM
8/31/2018,09:58:08,AM,8/31/2018,09:29:51,PM
8/30/2018,09:43:49,AM,8/30/2018,09:43:49,PM
8/30/2018,09:34:11,AM,8/30/2018,09:34:11,PM
8/29/2018,09:52:34,AM,8/29/2018,09:10:34,PM
8/29/2018,09:29:31,AM,8/29/2018,09:02:43,PM
8/28/2018,09:30:37,AM,8/28/2018,09:30:37,PM
8/28/2018,09:21:05,AM,8/28/2018,09:21:05,PM
8/27/2018,11:00:04,PM,8/28/2018,01:00:10,AM
8/27/2018,03:30:35,PM,8/27/2018,06:59:50,PM
8/27/2018,10:34:50,AM,8/27/2018,07:22:22,PM
8/27/2018,10:01:21,AM,8/27/2018,03:30:26,PM
8/24/2018,09:21:40,AM,8/24/2018,09:21:40,PM
8/24/2018,09:10:48,AM,8/24/2018,09:10:48,PM
8/23/2018,05:55:54,PM,8/23/2018,07:56:18,PM
8/23/2018,11:12:12,AM,8/23/2018,01:57:56,PM
8/23/2018,09:35:35,AM,8/23/2018,01:55:48,PM
8/22/2018,08:56:24,AM,8/22/2018,08:56:24,PM
8/22/2018,08:55:13,AM,8/22/2018,08:55:13,PM
8/21/2018,09:58:24,AM,8/21/2018,09:24:54,PM
8/21/2018,09:52:29,AM,8/21/2018,09:31:44,PM
8/20/2018,10:29:50,AM,8/20/2018,08:47:11,PM
8/20/2018,10:19:02,AM,8/20/2018,08:54:47,PM
8/18/2018,10:05:13,AM,8/18/2018,10:05:13,PM
8/18/2018,09:51:08,AM,8/18/2018,09:51:08,PM
8/16/2018,09:42:21,AM,8/16/2018,09:08:46,PM
8/16/2018,09:31:49,AM,8/16/2018,09:14:55,PM
8/14/2018,10:16:27,AM,8/14/2018,10:10:26,PM
8/14/2018,10:05:23,AM,8/14/2018,09:16:17,PM
8/13/2018,10:10:43,AM,8/13/2018,09:16:12,PM
8/13/2018,10:10:28,AM,8/13/2018,09:21:50,PM
08-11-2018,09:37:31,AM,08-11-2018,09:37:17,PM
08-11-2018,09:36:09,AM,08-11-2018,09:36:09,PM
08-10-2018,10:07:52,AM,08-10-2018,10:07:52,PM
08-10-2018,09:41:39,AM,08-10-2018,09:41:39,PM
08-09-2018,09:23:01,AM,08-09-2018,07:05:18,PM
08-09-2018,09:21:24,AM,08-09-2018,07:29:47,PM
08-08-2018,09:47:41,AM,08-08-2018,09:47:41,PM
08-08-2018,09:46:46,AM,08-08-2018,09:46:46,PM
08-07-2018,09:54:24,AM,08-07-2018,12:22:52,PM
08-07-2018,09:40:45,AM,08-07-2018,09:40:45,PM
08-06-2018,10:15:20,AM,08-06-2018,12:07:47,PM
08-06-2018,10:14:19,AM,08-06-2018,12:07:47,PM
08-03-2018,09:53:44,AM,08-03-2018,09:29:03,PM
08-03-2018,09:46:02,AM,08-03-2018,09:37:56,PM
08-01-2018,09:34:37,AM,08-01-2018,09:32:25,PM
08-01-2018,09:30:10,AM,08-01-2018,09:30:10,PM
