startDate,startTime,A,stopDate,stopTime,P
9/14/2018,12:01:07,PM,9/15/2018,12:01:07,AM
9/14/2018,10:55:59,AM,9/14/2018,10:55:59,PM
9/13/2018,01:56:35,PM,9/13/2018,10:38:12,PM
9/13/2018,11:45:07,AM,9/13/2018,10:28:18,PM
09-11-2018,11:44:38,AM,09-11-2018,11:44:38,PM
09-11-2018,10:48:55,AM,09-11-2018,10:48:55,PM
09-10-2018,10:13:38,AM,09-10-2018,10:13:38,PM
09-10-2018,10:13:13,AM,09-10-2018,10:13:13,PM
09-08-2018,05:30:02,PM,09-08-2018,11:44:51,PM
09-08-2018,05:29:50,PM,09-09-2018,12:47:39,AM
09-08-2018,10:38:08,AM,09-08-2018,05:00:37,PM
09-08-2018,10:21:19,AM,09-08-2018,04:57:17,PM
09-07-2018,01:34:04,PM,09-07-2018,11:23:29,PM
09-07-2018,11:37:06,AM,09-07-2018,11:18:29,PM
09-01-2018,10:27:41,AM,09-01-2018,10:27:41,PM
09-01-2018,10:20:14,AM,09-01-2018,10:20:14,PM
8/31/2018,07:38:24,PM,8/31/2018,11:55:34,PM
8/31/2018,11:03:42,AM,8/31/2018,11:03:42,PM
8/31/2018,10:39:04,AM,8/31/2018,07:13:19,PM
8/30/2018,10:22:54,AM,8/30/2018,10:22:54,PM
8/30/2018,10:11:27,AM,8/30/2018,10:11:27,PM
8/29/2018,10:47:39,AM,8/29/2018,10:47:39,PM
8/29/2018,10:03:59,AM,8/29/2018,10:03:59,PM
8/28/2018,01:31:41,PM,8/28/2018,11:28:23,PM
8/28/2018,10:43:32,AM,8/28/2018,10:43:32,PM
8/27/2018,02:22:32,PM,8/27/2018,09:50:40,PM
8/27/2018,10:18:02,AM,8/27/2018,09:12:27,PM
8/25/2018,10:23:13,AM,8/25/2018,10:23:13,PM
8/24/2018,09:49:47,AM,8/24/2018,09:49:47,PM
8/23/2018,10:40:27,AM,8/23/2018,10:40:27,PM
8/23/2018,10:37:38,AM,8/23/2018,10:37:38,PM
8/22/2018,05:47:19,PM,8/22/2018,10:22:51,PM
8/22/2018,05:37:50,PM,8/22/2018,05:45:13,PM
